Local time,Open,High,Low,Close,Volume
26.01.2017 00:00:00.000 GMT-0800,19.140,19.140,19.140,19.140,0
26.01.2017 01:00:00.000 GMT-0800,19.140,19.140,19.140,19.140,0
26.01.2017 02:00:00.000 GMT-0800,19.140,19.140,19.140,19.140,0
26.01.2017 03:00:00.000 GMT-0800,19.140,19.140,19.140,19.140,0
26.01.2017 04:00:00.000 GMT-0800,19.140,19.140,19.140,19.140,0
26.01.2017 05:00:00.000 GMT-0800,19.140,19.140,19.140,19.140,0
26.01.2017 06:00:00.000 GMT-0800,19.140,19.230,19.090,19.210,2.3939
26.01.2017 07:00:00.000 GMT-0800,19.220,19.340,19.130,19.320,2.2182
26.01.2017 08:00:00.000 GMT-0800,19.330,19.390,19.250,19.350,1.8431
26.01.2017 09:00:00.000 GMT-0800,19.340,19.360,19.270,19.290,0.8853
26.01.2017 10:00:00.000 GMT-0800,19.280,19.380,19.250,19.250,0.923
26.01.2017 11:00:00.000 GMT-0800,19.240,19.250,18.960,19.030,1.0803
26.01.2017 12:00:00.000 GMT-0800,19.020,19.210,19.010,19.160,2.0041
26.01.2017 13:00:00.000 GMT-0800,19.150,19.150,19.150,19.150,0.0037
26.01.2017 14:00:00.000 GMT-0800,19.150,19.150,19.150,19.150,0
26.01.2017 15:00:00.000 GMT-0800,19.150,19.150,19.150,19.150,0
26.01.2017 16:00:00.000 GMT-0800,19.150,19.150,19.150,19.150,0
26.01.2017 17:00:00.000 GMT-0800,19.150,19.150,19.150,19.150,0
26.01.2017 18:00:00.000 GMT-0800,19.150,19.150,19.150,19.150,0
26.01.2017 19:00:00.000 GMT-0800,19.150,19.150,19.150,19.150,0
26.01.2017 20:00:00.000 GMT-0800,19.150,19.150,19.150,19.150,0
26.01.2017 21:00:00.000 GMT-0800,19.150,19.150,19.150,19.150,0
26.01.2017 22:00:00.000 GMT-0800,19.150,19.150,19.150,19.150,0
26.01.2017 23:00:00.000 GMT-0800,19.150,19.150,19.150,19.150,0
27.01.2017 00:00:00.000 GMT-0800,19.150,19.150,19.150,19.150,0
27.01.2017 01:00:00.000 GMT-0800,19.150,19.150,19.150,19.150,0
