ds,y,vix
2019-01-02 00:00:00,3806.73,46.948
2019-01-02 01:00:00,3801.7,46.948
2019-01-02 02:00:00,3798.17,46.948
2019-01-02 03:00:00,3803.56,46.948
2019-01-02 04:00:00,3795.81,46.948
2019-01-02 05:00:00,3798.08,46.948
2019-01-02 06:00:00,3784.92,48.057
2019-01-02 07:00:00,3788.98,47.537
2019-01-02 08:00:00,3801.57,47.297
2019-01-02 09:00:00,3800.61,46.087
2019-01-02 10:00:00,3799.73,45.918
2019-01-02 11:00:00,3809.85,46.198
2019-01-02 12:00:00,3802.91,45.488
2019-01-02 13:00:00,3837.1,45.488
2019-01-02 14:00:00,3827.9,45.488
2019-01-02 15:00:00,3823.98,45.488
2019-01-02 16:00:00,3846.8,45.488
2019-01-02 17:00:00,3847.79,45.488
2019-01-02 18:00:00,3840.88,45.488
2019-01-02 19:00:00,3839.29,45.488
2019-01-02 20:00:00,3858.84,45.488
2019-01-02 21:00:00,3878.58,45.488
2019-01-02 22:00:00,3887.16,45.488
2019-01-02 23:00:00,3902.15,45.488
2019-01-03 00:00:00,3881.26,45.488
2019-01-03 01:00:00,3860.24,45.488
2019-01-03 02:00:00,3865.38,45.488
2019-01-03 03:00:00,3871.13,45.488
2019-01-03 04:00:00,3870.42,45.488
2019-01-03 05:00:00,3845.59,45.488
2019-01-03 06:00:00,3845.55,46.797
2019-01-03 07:00:00,3852.6,48.057
2019-01-03 08:00:00,3838.63,46.718
2019-01-03 09:00:00,3828,46.818
2019-01-03 10:00:00,3840.33,47.177
2019-01-03 11:00:00,3832.2,47.188
2019-01-03 12:00:00,3839.27,47.657
2019-01-03 13:00:00,3849.31,47.657
2019-01-03 14:00:00,3840.36,47.657
2019-01-03 15:00:00,3841.47,47.657
2019-01-03 16:00:00,3786.99,47.657
2019-01-03 17:00:00,3778.13,47.657
2019-01-03 18:00:00,3772.24,47.657
2019-01-03 19:00:00,3776.38,47.657
2019-01-03 20:00:00,3793.18,47.657
2019-01-03 21:00:00,3796.17,47.657
2019-01-03 22:00:00,3790.78,47.657
2019-01-03 23:00:00,3784.05,47.657
2019-01-04 00:00:00,3762.37,47.657
2019-01-04 01:00:00,3778.38,47.657
2019-01-04 02:00:00,3776.41,47.657
2019-01-04 03:00:00,3788.36,47.657
2019-01-04 04:00:00,3790.46,47.657
2019-01-04 05:00:00,3792.46,47.657
2019-01-04 06:00:00,3802.89,45.467
2019-01-04 07:00:00,3817.9,44.728
2019-01-04 08:00:00,3813,44.488
2019-01-04 09:00:00,3784.34,44.208
2019-01-04 10:00:00,3786.32,44.357
2019-01-04 11:00:00,3792.99,44.448
2019-01-04 12:00:00,3781.7,43.837
2019-01-04 13:00:00,3779.11,43.837
2019-01-04 14:00:00,3761.19,43.837
2019-01-04 15:00:00,3748.01,43.837
2019-01-04 16:00:00,3757.41,43.837
2019-01-04 17:00:00,3767.34,43.837
2019-01-04 18:00:00,3763.32,43.837
2019-01-04 19:00:00,3761.14,43.837
2019-01-04 20:00:00,3778.76,43.837
2019-01-04 21:00:00,3818.81,43.837
2019-01-04 22:00:00,3826.08,43.837
2019-01-04 23:00:00,3827.83,43.837
2019-01-05 00:00:00,3847.86,43.837
2019-01-05 01:00:00,3842.44,43.837
2019-01-05 02:00:00,3844.24,43.837
2019-01-05 03:00:00,3838.24,43.837
2019-01-05 04:00:00,3845.33,43.837
2019-01-05 05:00:00,3850.23,43.837
2019-01-05 06:00:00,3839.05,43.837
2019-01-05 07:00:00,3825.31,43.837
2019-01-05 08:00:00,3827.45,43.837
2019-01-05 09:00:00,3824.02,43.837
2019-01-05 10:00:00,3820.31,43.837
2019-01-05 11:00:00,3833.02,43.837
2019-01-05 12:00:00,3841.41,43.837
2019-01-05 13:00:00,3826.62,43.837
2019-01-05 14:00:00,3825.2,43.837
2019-01-05 15:00:00,3839.01,43.837
2019-01-05 16:00:00,3838.41,43.837
2019-01-05 17:00:00,3834.66,43.837
2019-01-05 18:00:00,3846.68,43.837
2019-01-05 19:00:00,3847.39,43.837
2019-01-05 20:00:00,3837.93,43.837
2019-01-05 21:00:00,3842.6,43.837
2019-01-05 22:00:00,3798.07,43.837
2019-01-05 23:00:00,3799.56,43.837
2019-01-06 00:00:00,3798.22,43.837
2019-01-06 01:00:00,3798.62,43.837
2019-01-06 02:00:00,3777.48,43.837
2019-01-06 03:00:00,3795.3,43.837
2019-01-06 04:00:00,3794.88,43.837
2019-01-06 05:00:00,3799.65,43.837
2019-01-06 06:00:00,3798.79,43.837
2019-01-06 07:00:00,3787.78,43.837
2019-01-06 08:00:00,3788.57,43.837
2019-01-06 09:00:00,3798.52,43.837
2019-01-06 10:00:00,3809.48,43.837
2019-01-06 11:00:00,3815.72,43.837
2019-01-06 12:00:00,3822.01,43.837
2019-01-06 13:00:00,3821.4,43.837
2019-01-06 14:00:00,3820.04,43.837
2019-01-06 15:00:00,3836.42,43.837
2019-01-06 16:00:00,3827.58,43.837
2019-01-06 17:00:00,4024.46,43.837
2019-01-06 18:00:00,4051.92,43.837
2019-01-06 19:00:00,4054.49,43.837
2019-01-06 20:00:00,4049.03,43.837
2019-01-06 21:00:00,4032.26,43.837
2019-01-06 22:00:00,4035.74,43.837
2019-01-06 23:00:00,4048.8,43.837
2019-01-07 00:00:00,4054.01,43.837
2019-01-07 01:00:00,4036.96,43.837
2019-01-07 02:00:00,4028.67,43.837
2019-01-07 03:00:00,4031.64,43.837
2019-01-07 04:00:00,4031.65,43.837
2019-01-07 05:00:00,4027.46,43.837
2019-01-07 06:00:00,4029.53,43.768
2019-01-07 07:00:00,4031.47,43.028
2019-01-07 08:00:00,4039.19,42.598
2019-01-07 09:00:00,3998.76,42.508
2019-01-07 10:00:00,4019.95,42.857
2019-01-07 11:00:00,4014.05,43.008
2019-01-07 12:00:00,4013.34,42.918
2019-01-07 13:00:00,4012.29,42.918
2019-01-07 14:00:00,4029.74,42.918
2019-01-07 15:00:00,4026.07,42.918
2019-01-07 16:00:00,4019.46,42.918
2019-01-07 17:00:00,4009.41,42.918
2019-01-07 18:00:00,4018.2,42.918
2019-01-07 19:00:00,4020.28,42.918
2019-01-07 20:00:00,4011.55,42.918
2019-01-07 21:00:00,4009.99,42.918
2019-01-07 22:00:00,3998.24,42.918
2019-01-07 23:00:00,3997.75,42.918
2019-01-08 00:00:00,4014.72,42.918
2019-01-08 01:00:00,4002.52,42.918
2019-01-08 02:00:00,3970.65,42.918
2019-01-08 03:00:00,3981.34,42.918
2019-01-08 04:00:00,3980.24,42.918
2019-01-08 05:00:00,3975.92,42.918
2019-01-08 06:00:00,3978.72,42.728
2019-01-08 07:00:00,3983.01,43.347
2019-01-08 08:00:00,3993.48,42.888
2019-01-08 09:00:00,3999.48,42.478
2019-01-08 10:00:00,4001.26,42.218
2019-01-08 11:00:00,4025.61,42.017
